kT  Cv_n0  Cv_n1  Cv_n2  Cv_n3  Cv_n4  Cv_n5
7.700000000000000178e-01 4.443919670450198200e-01 3.013274985931102545e-01 1.697751689425024135e-01 2.053932468142296297e-01 3.518172511872477703e-01 4.810018077545412107e-01
7.800000000000000266e-01 4.460706258412051040e-01 3.040338805845662629e-01 1.748948799141998578e-01 2.093774248516977188e-01 3.533486175938765905e-01 4.825053385186612864e-01
7.900000000000000355e-01 4.478966682290814183e-01 3.069284306257742401e-01 1.801420912966995302e-01 2.135217694167232949e-01 3.550726886372538305e-01 4.841043718694768572e-01
8.000000000000000444e-01 4.498665648091287328e-01 3.100027204359825928e-01 1.855098147671346842e-01 2.178184301876051610e-01 3.569829743893631058e-01 4.857998230048669042e-01
8.100000000000000533e-01 4.519765077453465896e-01 3.132484415424897084e-01 1.909911995668908402e-01 2.222597204055100639e-01 3.590729213025528055e-01 4.875921040717195454e-01
8.200000000000000622e-01 4.542224539296200736e-01 3.166574193503579049e-01 1.965795380917270962e-01 2.268381217599884925e-01 3.613359404489827065e-01 4.894811728855249511e-01
8.300000000000000711e-01 4.566001642685996176e-01 3.202216252260922102e-01 2.022682706880672698e-01 2.315462884506381824e-01 3.637654327261071741e-01 4.914665783812617317e-01
8.400000000000000799e-01 4.591052393637372053e-01 3.239331867776689133e-01 2.080509896936598990e-01 2.363770504746071088e-01 3.663548112818122426e-01 4.935475029201590313e-01
8.499999999999999778e-01 4.617331518433054338e-01 3.277843964988999548e-01 2.139214427634594518e-01 2.413234161900961461e-01 3.690975213950179468e-01 4.957228015859283521e-01
8.599999999999999867e-01 4.644792755928822681e-01 3.317677189334091170e-01 2.198735355235391931e-01 2.463785742060032868e-01 3.719870580307846342e-01 4.979910386102380793e-01
8.699999999999999956e-01 4.673389121179009065e-01 3.358757965008027369e-01 2.259013335966945368e-01 2.515358946474700597e-01 3.750169812729713947e-01 5.003505210705119222e-01
8.800000000000000044e-01 4.703073142589943578e-01 3.401014541166763050e-01 2.319990640436172813e-01 2.567889298457695091e-01 3.781809298225299876e-01 5.027993300045509040e-01
8.900000000000000133e-01 4.733797074679108041e-01 3.444377027272160219e-01 2.381611162633558432e-01 2.621314144999672968e-01 3.814726327353467616e-01 5.053353490859807673e-01
9.000000000000000222e-01 4.765513088390481156e-01 3.488777418692211030e-01 2.443820423955713750e-01 2.675572653558925817e-01 3.848859195603364092e-01 5.079562910027167755e-01
9.100000000000000311e-01 4.798173440794399891e-01 3.534149613576195170e-01 2.506565572665735431e-01 2.730605804462838959e-01 3.884147290259079566e-01 5.106597216776496140e-01
9.200000000000000400e-01 4.831730625876712870e-01 3.580429421934687162e-01 2.569795379189026008e-01 2.786356379338873479e-01 3.920531164114492984e-01 5.134430824668920756e-01
9.300000000000000488e-01 4.866137508009494850e-01 3.627554567778552563e-01 2.633460227632982154e-01 2.842768945972038441e-01 3.957952597294527863e-01 5.163037104664668364e-01
9.400000000000000577e-01 4.901347439582526277e-01 3.675464685098795425e-01 2.697512103895241542e-01 2.899789839963567428e-01 3.996354648337897553e-01 5.192388570531764058e-01
9.500000000000000666e-01 4.937314364170494740e-01 3.724101308396339793e-01 2.761904580709410029e-01 2.957367143544360477e-01 4.035681695602778007e-01 5.222457047801545293e-01
9.600000000000000755e-01 4.973992906508472589e-01 3.773407858413949101e-01 2.826592799955781055e-01 3.015450661873607663e-01 4.075879469967393920e-01 5.253213827419308535e-01
9.699999999999999734e-01 5.011338450457608618e-01 3.823329623659680321e-01 2.891533452545945182e-01 3.073991897131641560e-01 4.116895079717241557e-01 5.284629805181069173e-01
9.799999999999999822e-01 5.049307206047003449e-01 3.873813738259991313e-01 2.956684756168852513e-01 3.132944020694327092e-01 4.158677028434276668e-01 5.316675607990470898e-01
