kT  U_n0  U_n1  U_n2  U_n3  U_n4  U_n5
5.500000000000000444e-01 2.494269445992136180e+00 2.514227557096818888e+00 2.475199609488250463e+00 2.033170542507863665e+00 1.639766725307697293e+00 1.197724248357332488e+00
5.600000000000000533e-01 2.498704859338478634e+00 2.517271764132991141e+00 2.476248049790702233e+00 2.034917729948801046e+00 1.643509420510267827e+00 1.202328531560958425e+00
5.700000000000000622e-01 2.503130167267370254e+00 2.520283400945428909e+00 2.477301884501070361e+00 2.036649375621987890e+00 1.647217459841789022e+00 1.206946685890384119e+00
5.800000000000000711e-01 2.507545496009468522e+00 2.523265794580449750e+00 2.478364030273900731e+00 2.038368958711253676e+00 1.650892918991230918e+00 1.211576961724638579e+00
5.899999999999999689e-01 2.511951204881954780e+00 2.526222267081925210e+00 2.479437330303613241e+00 2.040079874953741879e+00 1.654537990217809451e+00 1.216217898672914188e+00
5.999999999999999778e-01 2.516347860429190675e+00 2.529156122825422237e+00 2.480524553481578298e+00 2.041785434956088441e+00 1.658154961025680274e+00 1.220868305059102044e+00
6.099999999999999867e-01 2.520736212200813675e+00 2.532070637337467733e+00 2.481628393538252819e+00 2.043488862732376177e+00 1.661746194789458064e+00 1.225527237795739577e+00
6.199999999999999956e-01 2.525117170152377799e+00 2.534969047465100989e+00 2.482751468213011847e+00 2.045193294462142486e+00 1.665314113196594503e+00 1.230193982789805851e+00
6.300000000000000044e-01 2.529491783637433322e+00 2.537854542773213762e+00 2.483896318486229049e+00 2.046901777466367367e+00 1.668861180378330422e+00 1.234868035992516599e+00
6.400000000000000133e-01 2.533861221947212083e+00 2.540730258058086388e+00 2.485065407901003276e+00 2.048617269398598673e+00 1.672389888606930164e+00 1.239549085178988319e+00
6.500000000000000222e-01 2.538226756344411417e+00 2.543599266875316012e+00 2.486261121995555712e+00 2.050342637647323496e+00 1.675902745443085706e+00 1.244236992521045915e+00
6.600000000000000311e-01 2.542589743530358604e+00 2.546464575989100698e+00 2.487485767861810526e+00 2.052080658944563041e+00 1.679402262223586462e+00 1.248931777997121850e+00
6.700000000000000400e-01 2.546951610479825767e+00 2.549329120657732428e+00 2.488741573840827392e+00 2.053834019174534564e+00 1.682890943785578131e+00 1.253633603666798324e+00
6.800000000000000488e-01 2.551313840574457092e+00 2.552195760677267167e+00 2.490030689361715677e+00 2.055605313375139076e+00 1.686371279329809125e+00 1.258342758823780994e+00
6.900000000000000577e-01 2.555677960963941064e+00 2.555067277111832347e+00 2.491355184927147803e+00 2.057397045924082235e+00 1.689845734331241189e+00 1.263059646029599747e+00
7.000000000000000666e-01 2.560045531083428916e+00 2.557946369644922502e+00 2.492717052245710274e+00 2.059211630900606327e+00 1.693316743411176439e+00 1.267784768020894459e+00
7.100000000000000755e-01 2.564418132255989580e+00 2.560835654491395719e+00 2.494118204508974035e+00 2.061051392613151734e+00 1.696786704090612163e+00 1.272518715475450035e+00
7.199999999999999734e-01 2.568797358310039858e+00 2.563737662814856044e+00 2.495560476809187023e+00 2.062918566282729405e+00 1.700257971349916408e+00 1.277262155616006645e+00
7.299999999999999822e-01 2.573184807143291231e+00 2.566654839599601612e+00 2.497045626692035558e+00 2.064815298871458094e+00 1.703732852924992436e+00 1.282015821626042662e+00
7.399999999999999911e-01 2.577582073166984955e+00 2.569589542930517556e+00 2.498575334837687567e+00 2.066743650045474112e+00 1.707213605275017754e+00 1.286780502848053453e+00
7.500000000000000000e-01 2.581990740566646458e+00 2.572544043638127942e+00 2.500151205862482851e+00 2.068705593261349840e+00 1.710702430161430199e+00 1.291557035732138869e+00
7.600000000000000089e-01 2.586412377318316747e+00 2.575520525269566541e+00 2.501774769233026774e+00 2.070703016965192322e+00 1.714201471782253350e+00 1.296346295500840240e+00
7.700000000000000178e-01 2.590848529902196606e+00 2.578521084349520542e+00 2.503447480284031190e+00 2.072737725893720739e+00 1.717712814409971589e+00 1.301149188494961528e+00
7.800000000000000266e-01 2.595300718658540617e+00 2.581547730898244186e+00 2.505170721331034578e+00 2.074811442466853340e+00 1.721238480485090205e+00 1.305966645164535089e+00
7.900000000000000355e-01 2.599770433733796349e+00 2.584602389176507309e+00 2.506945802869101403e+00 2.076925808261633755e+00 1.724780429121165248e+00 1.310799613668927721e+00
8.000000000000000444e-01 2.604259131567978169e+00 2.587686898629983023e+00 2.508773964848633131e+00 2.079082385557689427e+00 1.728340554980556609e+00 1.315649054050389122e+00
8.100000000000000533e-01 2.608768231877257371e+00 2.590803015007979049e+00 2.510656378019625379e+00 2.081282658944815900e+00 1.731920687483380128e+00 1.320515932945901305e+00
8.200000000000000622e-01 2.613299115088773661e+00 2.593952411633595023e+00 2.512594145335937945e+00 2.083528036983743448e+00 1.735522590315145441e+00 1.325401218803036629e+00
8.300000000000000711e-01 2.617853120187465965e+00 2.597136680804497555e+00 2.514588303411466885e+00 2.085819853911593302e+00 1.739147961201400694e+00 1.330305877566575923e+00
8.400000000000000799e-01 2.622431542937511573e+00 2.600357335305362838e+00 2.516639824020463934e+00 2.088159371384040952e+00 1.742798431920328683e+00 1.335230868803798598e+00
8.499999999999999778e-01 2.627035634443622314e+00 2.603615810014815679e+00 2.518749615634660266e+00 2.090547780246687193e+00 1.746475568526679734e+00 1.340177142237682473e+00
8.599999999999999867e-01 2.631666600019950675e+00 2.606913463591272073e+00 2.520918524990249043e+00 2.092986202328666945e+00 1.750180871762709867e+00 1.345145634658584388e+00
8.699999999999999956e-01 2.636325598336772380e+00 2.610251580223634349e+00 2.523147338678229712e+00 2.095475692251973499e+00 1.753915777633891837e+00 1.350137267186423795e+00
8.800000000000000044e-01 2.641013740817376387e+00 2.613631371434100625e+00 2.525436784752052244e+00 2.098017239250536736e+00 1.757681658129132796e+00 1.355152942856806098e+00
8.900000000000000133e-01 2.645732091259746621e+00 2.617053977921650620e+00 2.527787534346923604e+00 2.100611768993509543e+00 1.761479822067035128e+00 1.360193544505975849e+00
9.000000000000000222e-01 2.650481665659626618e+00 2.620520471435930254e+00 2.530200203305612572e+00 2.103260145407726878e+00 1.765311516051399021e+00 1.365259932930924069e+00
9.100000000000000311e-01 2.655263432213436747e+00 2.624031856672272234e+00 2.532675353805935448e+00 2.105963172494722535e+00 1.769177925520744266e+00 1.370352945302372616e+00
9.200000000000000400e-01 2.660078311481305136e+00 2.627589073179632528e+00 2.535213495985613186e+00 2.108721596138126042e+00 1.773080175877999709e+00 1.375473393809752087e+00
9.300000000000000488e-01 2.664927176692098332e+00 2.631192997274073964e+00 2.537815089560484960e+00 2.111536105897673377e+00 1.777019333687863911e+00 1.380622064518581382e+00
9.400000000000000577e-01 2.669810854173884973e+00 2.634844443951225745e+00 2.540480545432517445e+00 2.114407336786445768e+00 1.780996407930533154e+00 1.385799716421998617e+00
9.500000000000000666e-01 2.674730123894683675e+00 2.638544168791966182e+00 2.543210227284355085e+00 2.117335871028316774e+00 1.785012351301575650e+00 1.391007080669367069e+00
9.600000000000000755e-01 2.679685720099694191e+00 2.642292869856167403e+00 2.546004453157532321e+00 2.120322239792925778e+00 1.789068061548791944e+00 1.396244859956091044e+00
9.699999999999999734e-01 2.684678332032378822e+00 2.646091189560026091e+00 2.548863497011748080e+00 2.123366924905825126e+00 1.793164382837794113e+00 1.401513728059891717e+00
9.799999999999999822e-01 2.689708604727995223e+00 2.649939716533042944e+00 2.551787590262936778e+00 2.126470360531736770e+00 1.797302107138908589e+00 1.406814329509841199e+00
9.899999999999999911e-01 2.694777139869101390e+00 2.653838987451219378e+00 2.554776923298132107e+00 2.129632934829135404e+00 1.801481975628782761e+00 1.412147279375474795e+00
1.000000000000000000e+00 2.699884496693635949e+00 2.657789488843528503e+00 2.557831646965371242e+00 2.132854991574635317e+00 1.805704680100789439e+00 1.417513163164240586e+00
1.010000000000000009e+00 2.705031192946998342e+00 2.661791658869106847e+00 2.560951874037146858e+00 2.136136831755881538e+00 1.809970864378964706e+00 1.422912536816437479e+00
1.020000000000000018e+00 2.710217705870393790e+00 2.665845889063027663e+00 2.564137680646120909e+00 2.139478715131876818e+00 1.814281125730832667e+00 1.428345926787635056e+00
1.030000000000000027e+00 2.715444473218449506e+00 2.669952526048838148e+00 2.567389107692021000e+00 2.142880861759880684e+00 1.818636016274972622e+00 1.433813830209351714e+00
1.040000000000000036e+00 2.720711894299829847e+00 2.674111873216358237e+00 2.570706162218835633e+00 2.146343453488168240e+00 1.823036044379706233e+00 1.439316715119490997e+00
1.050000000000000044e+00 2.726020331035158950e+00 2.678324192363526368e+00 2.574088818761584907e+00 2.149866635414140248e+00 1.827481676049717452e+00 1.444855020754749919e+00
1.060000000000000053e+00 2.731370109027197124e+00 2.682589705301313909e+00 2.577537020662113321e+00 2.153450517307405221e+00 1.831973336297814337e+00 1.450429157897815680e+00
1.070000000000000062e+00 2.736761518638697765e+00 2.686908595420971047e+00 2.581050681353475706e+00 2.157095174997594178e+00 1.836511410499422459e+00 1.456039509272787580e+00
1.080000000000000071e+00 2.742194816073901364e+00 2.691281009223049914e+00 2.584629685612632510e+00 2.160800651726785038e+00 1.841096245727728897e+00 1.461686429982809843e+00
1.090000000000000080e+00 2.747670224460021515e+00 2.695707057807852358e+00 2.588273890781292774e+00 2.164566959466553975e+00 1.845728152067670269e+00 1.467370247984399523e+00
1.100000000000000089e+00 2.753187934925522828e+00 2.700186818327090510e+00 2.591983127954811561e+00 2.168394080199722573e+00 1.850407403907277315e+00 1.473091264593454186e+00
1.110000000000000098e+00 2.758748107672334360e+00 2.704720335396685105e+00 2.595757203139199554e+00 2.172281967166997507e+00 1.855134241205083301e+00 1.478849755018339485e+00
1.120000000000000107e+00 2.764350873039481904e+00 2.709307622470788157e+00 2.599595898376329206e+00 2.176230546078763872e+00 1.859908870732553288e+00 1.484645968915885295e+00
1.130000000000000115e+00 2.769996332555940466e+00 2.713948663177183640e+00 2.603498972837548830e+00 2.180239716292353691e+00 1.864731467290676958e+00 1.490480130966480132e+00
1.140000000000000124e+00 2.775684559980761801e+00 2.718643412614334842e+00 2.607466163885937327e+00 2.184309351955186163e+00 1.869602174900041103e+00 1.496352441464813277e+00
