kT  z1_n0  z1_n1  z1_n2  z1_n3  z1_n4  z1_n5
1.400000000000000133e-01 4.792909420337103776e-08 4.837392208218540512e-08 5.313289521345091933e-08 1.403758957723651263e-06 2.397205157731118508e-05 4.400973887401164568e-04
1.500000000000000222e-01 1.474690940067436846e-07 1.491490307382881417e-07 1.658500918149929520e-07 3.485026174343754303e-06 4.877918481288110570e-05 7.368102340821668051e-04
1.600000000000000033e-01 3.943297990636001803e-07 3.998176282535740442e-07 4.498351579781134314e-07 7.735176505089820086e-06 9.086207997080349662e-05 1.156680496884742544e-03
1.700000000000000122e-01 9.393959277757991735e-07 9.551960902974372949e-07 1.086626865711958979e-06 1.565520384558077738e-05 1.573816061557151429e-04 1.722123539878774165e-03
1.800000000000000211e-01 2.032585625991900228e-06 2.073350087799401127e-06 2.383006561355858732e-06 2.933815167125670972e-05 2.565895519465465654e-04 2.453317554762670261e-03
1.900000000000000022e-01 4.055802912000866266e-06 4.151423473271258587e-06 4.816888902784214624e-06 5.152837457484233340e-05 3.975686123755889844e-04 3.367587197408769897e-03
2.000000000000000111e-01 7.554851832542650861e-06 7.761338262088970444e-06 9.083884366319261758e-06 8.564465366819951964e-05 5.899433273550214532e-04 4.479092442858693783e-03
2.100000000000000200e-01 1.326724526839510709e-05 1.368213882888059205e-05 1.614015292969221639e-05 1.357666204280950494e-04 8.435916217954533228e-04 5.798762753311061807e-03
2.200000000000000011e-01 2.214349000748631264e-05 2.292625819341658145e-05 2.723766179296325138e-05 2.065879172153006651e-04 1.168378064025609332e-03 7.334411210444914848e-03
2.300000000000000100e-01 3.536032210008612566e-05 3.675778081074593479e-05 4.394894342282203495e-05 3.033421054379355198e-04 1.573921703554776765e-03 9.090968572602341896e-03
2.400000000000000189e-01 5.432528981480985188e-05 5.670166742419149381e-05 6.817965681844976634e-05 4.317085851597077381e-04 2.069404559674960405e-03 1.107078746353037414e-02
2.500000000000000000e-01 8.067288695967470870e-05 8.454374314714881936e-05 1.021684552172738304e-04 5.977059736818071895e-04 2.663421859590349005e-03 1.327397841039950135e-02
2.600000000000000089e-01 1.162530492887458005e-04 1.223219387504670332e-04 1.484746990025110670e-04 8.075798286561607260e-04 3.363871850161530633e-03 1.569875020075928856e-02
2.700000000000000178e-01 1.631132215897876381e-04 1.723097780981919637e-04 2.099553393974582221e-04 1.067690596972023943e-03 4.177881109683375706e-03 1.834173610326416543e-02
2.800000000000000266e-01 2.234754014147633514e-04 2.369934207064554169e-04 2.897328139298806986e-04 1.384406468591001639e-03 5.111760401370475833e-03 2.119829464412087416e-02
2.900000000000000355e-01 2.997096054667475391e-04 3.190437195009727185e-04 3.911560579068783282e-04 1.764004590537316753e-03 6.170985911668202227e-03 2.426277895635818582e-02
2.999999999999999889e-01 3.943051304159765885e-04 4.212847729702646864e-04 5.177567900806656805e-04 2.212582963207649755e-03 7.360200944435688411e-03 2.752877248883249181e-02
3.099999999999999978e-01 5.098408326612326180e-04 5.466603734779057477e-04 6.732031271791030086e-04 2.735984361249011940e-03 8.683233606369368182e-03 3.098929138875081840e-02
3.200000000000000067e-01 6.489554655210188648e-04 6.981996122753774672e-04 8.612523721376526839e-04 3.339732819733005204e-03 1.014312658965989267e-02 3.463695545318619395e-02
3.300000000000000155e-01 8.143189133995135413e-04 8.789827242978165422e-04 1.085704549426176916e-03 4.028982603837510772e-03 1.174217575138958129e-02 3.846413043779076807e-02
