x_ener_n0  ener_new_arr_n0
0.000000000000000000e+00 -2.844016439278858499e+00
0.000000000000000000e+00 -2.844076183958633042e+00
0.000000000000000000e+00 -2.844124382249065164e+00
0.000000000000000000e+00 -2.844162700576196467e+00
0.000000000000000000e+00 -2.844192674766027107e+00
0.000000000000000000e+00 -2.844215703675033957e+00
0.000000000000000000e+00 -2.844233044770454910e+00
0.000000000000000000e+00 -2.844245811979327243e+00
0.000000000000000000e+00 -2.844254975861528312e+00
0.000000000000000000e+00 -2.844261366398439517e+00
0.000000000000000000e+00 -2.844265678407129627e+00
0.000000000000000000e+00 -2.844268479546001149e+00
0.000000000000000000e+00 -2.844270220654137038e+00
0.000000000000000000e+00 -2.844271248230399340e+00
0.000000000000000000e+00 -2.844271818478997460e+00
0.000000000000000000e+00 -2.844272112308392497e+00
0.000000000000000000e+00 -2.844272250548640191e+00
0.000000000000000000e+00 -2.844272308603093879e+00
0.000000000000000000e+00 -2.844272329678418920e+00
0.000000000000000000e+00 -2.844272335987224842e+00
0.000000000000000000e+00 -2.844272337433702003e+00
0.000000000000000000e+00 -2.844272337657868466e+00
0.000000000000000000e+00 -2.844272337676292839e+00
0.000000000000000000e+00 -2.844272337676149842e+00
0.000000000000000000e+00 -2.844272337676053475e+00
0.000000000000000000e+00 -2.844272337680726181e+00
0.000000000000000000e+00 -2.844272337676537088e+00
0.000000000000000000e+00 -2.844272337642874238e+00
0.000000000000000000e+00 -2.844272336821902947e+00
0.000000000000000000e+00 -2.844272326244599913e+00
0.000000000000000000e+00 -2.844272237782572432e+00
0.000000000000000000e+00 -2.844271683385365623e+00
0.000000000000000000e+00 -2.844268850892242462e+00
0.000000000000000000e+00 -2.844256404852592901e+00
0.000000000000000000e+00 -2.844207633863810258e+00
0.000000000000000000e+00 -2.844032745815415542e+00
0.000000000000000000e+00 -2.843447814920560646e+00
0.000000000000000000e+00 -2.841596503144462549e+00
0.000000000000000000e+00 -2.835990377332072487e+00
0.000000000000000000e+00 -2.819622711930085845e+00
0.000000000000000000e+00 -2.773415869629511921e+00
0.000000000000000000e+00 -2.648143873599332121e+00
0.000000000000000000e+00 -2.331291688022246955e+00
0.000000000000000000e+00 -1.637085165101825446e+00
0.000000000000000000e+00 -4.867457276881091977e-01
0.000000000000000000e+00 7.609344872978646146e-01
0.000000000000000000e+00 2.071519642055699162e+00
0.000000000000000000e+00 2.071519642055272836e+00
0.000000000000000000e+00 2.352856422777985124e+00
0.000000000000000000e+00 2.352856422777985124e+00
