x_ener_n3  ener_new_arr_n3
0.000000000000000000e+00 1.998368014158508732e+00
0.000000000000000000e+00 1.995964445513807028e+00
0.000000000000000000e+00 1.993492788075840627e+00
0.000000000000000000e+00 1.990949393876593199e+00
0.000000000000000000e+00 1.988330591491873411e+00
0.000000000000000000e+00 1.985632718826545018e+00
0.000000000000000000e+00 1.982852164710082077e+00
0.000000000000000000e+00 1.979985421356838637e+00
0.000000000000000000e+00 1.977029149993534851e+00
0.000000000000000000e+00 1.973980262597038848e+00
0.000000000000000000e+00 1.970836023224028954e+00
0.000000000000000000e+00 1.967594172862050517e+00
0.000000000000000000e+00 1.964253082851786125e+00
0.000000000000000000e+00 1.960811942299261812e+00
0.000000000000000000e+00 1.957270986012969560e+00
0.000000000000000000e+00 1.953631770067843831e+00
0.000000000000000000e+00 1.949897502741694266e+00
0.000000000000000000e+00 1.946073438685226309e+00
0.000000000000000000e+00 1.942167343528840240e+00
0.000000000000000000e+00 1.938190034321475963e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819364274196e+00
0.000000000000000000e+00 1.891613819362762960e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819363146876e+00
0.000000000000000000e+00 1.891613819363146876e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819360246973e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819360668192e+00
0.000000000000000000e+00 1.891613819360668192e+00
0.000000000000000000e+00 1.891613819361008808e+00
0.000000000000000000e+00 1.891613819363146876e+00
0.000000000000000000e+00 1.891613819360668192e+00
0.000000000000000000e+00 2.357802017593116695e+00
0.000000000000000000e+00 2.357802017593116695e+00
