x_ener_n1  ener_new_arr_n1
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764639763250e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764639763250e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764639763250e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764639763250e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 2.359119764640907668e+00
0.000000000000000000e+00 3.062611067872912152e+00
0.000000000000000000e+00 3.062611067872912152e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067871783721e+00
0.000000000000000000e+00 3.062611067872912152e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 3.062611067872790027e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633255754434e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633255754434e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633255754434e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633257113347e+00
0.000000000000000000e+00 6.615303633253522442e+00
0.000000000000000000e+00 7.209793141879234035e+00
0.000000000000000000e+00 7.209793141879234035e+00
0.000000000000000000e+00 7.209793141879234035e+00
0.000000000000000000e+00 7.209793141877183231e+00
0.000000000000000000e+00 7.209793141877183231e+00
0.000000000000000000e+00 7.209793141877183231e+00
0.000000000000000000e+00 7.209793141877183231e+00
0.000000000000000000e+00 7.209793141879234035e+00
0.000000000000000000e+00 7.209793141879234035e+00
0.000000000000000000e+00 7.209793141877183231e+00
0.000000000000000000e+00 7.209793141879234035e+00
0.000000000000000000e+00 7.209793141877183231e+00
0.000000000000000000e+00 7.209793141877940847e+00
0.000000000000000000e+00 7.209793141877183231e+00
0.000000000000000000e+00 7.209793141879234035e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786000091266e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 9.615345786001412876e+00
0.000000000000000000e+00 1.099452229407699733e+01
0.000000000000000000e+00 1.099452229407618375e+01
0.000000000000000000e+00 1.099452229407618375e+01
0.000000000000000000e+00 1.099452229407699733e+01
0.000000000000000000e+00 1.099452229407699733e+01
0.000000000000000000e+00 1.099452229407699733e+01
0.000000000000000000e+00 1.099452229407849480e+01
0.000000000000000000e+00 1.099452229407618375e+01
0.000000000000000000e+00 1.099452229407480175e+01
0.000000000000000000e+00 1.099452229407699733e+01
0.000000000000000000e+00 1.099452229407699733e+01
0.000000000000000000e+00 1.099452229407699733e+01
0.000000000000000000e+00 1.099452229407618375e+01
0.000000000000000000e+00 1.099452229407699733e+01
0.000000000000000000e+00 1.099452229407618375e+01
0.000000000000000000e+00 1.099452229407618375e+01
0.000000000000000000e+00 1.099452229407699733e+01
0.000000000000000000e+00 1.099452229407699733e+01
0.000000000000000000e+00 1.318427813502477797e+01
0.000000000000000000e+00 1.318427813502312951e+01
0.000000000000000000e+00 1.318427813502312951e+01
0.000000000000000000e+00 1.318427813502477797e+01
0.000000000000000000e+00 1.318427813502355583e+01
0.000000000000000000e+00 1.318427813502477797e+01
0.000000000000000000e+00 1.318427813502312951e+01
0.000000000000000000e+00 1.318427813502477797e+01
0.000000000000000000e+00 1.318427813502477797e+01
0.000000000000000000e+00 1.318427813502312951e+01
0.000000000000000000e+00 1.318427813502312951e+01
0.000000000000000000e+00 1.318427813502312951e+01
0.000000000000000000e+00 1.318427813502528423e+01
0.000000000000000000e+00 1.318427813502355583e+01
0.000000000000000000e+00 1.318427813502312951e+01
0.000000000000000000e+00 1.318427813502312951e+01
0.000000000000000000e+00 1.318427813502355583e+01
0.000000000000000000e+00 1.318427813502477797e+01
0.000000000000000000e+00 1.318427813502355583e+01
0.000000000000000000e+00 1.318427813502355583e+01
0.000000000000000000e+00 1.318427813502312951e+01
0.000000000000000000e+00 1.318427813502312951e+01
0.000000000000000000e+00 1.318427813502394308e+01
0.000000000000000000e+00 1.318427813502477797e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628187477e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628111982e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907627956906e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628137028e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907627958860e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907627958860e+01
0.000000000000000000e+00 1.552878907628160476e+01
0.000000000000000000e+00 1.552878907628092797e+01
0.000000000000000000e+00 1.552878907627958860e+01
0.000000000000000000e+00 1.812377353116408685e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116408685e+01
0.000000000000000000e+00 1.812377353116408685e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116408685e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116408685e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116465173e+01
0.000000000000000000e+00 1.812377353116408685e+01
0.000000000000000000e+00 1.812377353116408685e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116383460e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116408685e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116465173e+01
0.000000000000000000e+00 1.812377353116408685e+01
0.000000000000000000e+00 1.812377353116561451e+01
0.000000000000000000e+00 1.812377353116408685e+01
